geneID
MIF
EBI3
GSN
NFE2L2
SLC11A2
TNIP2
PTPN1
BCAP31
KIF1B
TFDP1
PSEN2
CHP1
PARVA
STRAP
BTG1
CEBPB
ANXA1
MAPK1
MAP3K7
MARCKS
SEMA6A
KAT5
PTEN
PRKCD
MNT
NFATC3
AKT1
SP1
SIN3A
GSK3B
PEA15
MAP2K4
DAP3
NUP153
DCP1A
CD55
SNW1
FADD
ETF1
FLT1
VEGFA
PGF
ENG
